excel_id,row,title,original_title,release_year,runtime_minutes,genres,countries,director,cast,imdb,tomatometer,popcornmeter,justwatch_url,poster_url
838,1084,"Padre Padrone – Mein Vater, mein Herr",Padre padrone,1977,113,Coming-of-Age | Drama,ITA,"Paolo Taviani, Vittorio Taviani",Omero Antonutti | Fabrizio Forte | Saverio Marconi,7.2,70.000,77.000,https://www.justwatch.com/de/Film/padre-padrone-mein-vater-mein-herr,
839,1085,Darjeeling Limited,The Darjeeling Limited,2007,91,Drama | Komödie,USA,Wes Anderson,Owen Wilson | Adrien Brody | Jason Schwartzman,7.2,69.000,78.000,https://www.justwatch.com/de/Film/Darjeeling-Limited,
840,1086,Strange Days,,1995,145,Sci-Fi | Thriller,USA,Kathryn Bigelow,Ralph Fiennes | Angela Bassett | Juliette Lewis,7.2,69.000,73.000,https://www.justwatch.com/de/Film/Strange-Days,
841,1087,Wild at Heart – Die Geschichte von Sailor und Lula,Wild at Heart,1990,125,Krimi | Komödie,USA,David Lynch,Nicolas Cage | Laura Dern | Willem Dafoe,7.2,66.000,81.000,https://www.justwatch.com/de/Film/Wild-at-Heart-Die-Geschichte-von-Sailor-und-Lula,
842,1088,From Dusk Till Dawn,,1996,108,Action | Horror,USA,Robert Rodriguez,Harvey Keitel | George Clooney | Quentin Tarantino,7.2,65.000,76.000,https://www.justwatch.com/de/Film/From-Dusk-Till-Dawn,
843,1089,Hudsucker – Der große Sprung,The Hudsucker Proxy,1994,111,Drama | Komödie,GER | UK | USA,"Joel Coen, Ethan Coen",Tim Robbins | Jennifer Jason Leigh | Paul Newman,7.2,64.000,79.000,https://www.justwatch.com/de/Film/Hudsucker-Der-grosse-Sprung,
844,1090,Dänische Delikatessen,De grønne slagtere,2003,100,Drama | Komödie,DEN,Anders Thomas Jensen,Nikolaj Lie Kaas | Mads Mikkelsen | Line Kruse,7.2,63.000,83.000,https://www.justwatch.com/de/Film/Daenische-Delikatessen,
845,1091,Rock N Rolla,RocknRolla,2008,114,Action | Krimi,FRA | UK | USA,Guy Ritchie,Gerard Butler | Tom Wilkinson | Thandiwe Newton,7.2,60.000,71.000,https://www.justwatch.com/de/Film/RockNRolla,
846,1092,Die Tiefseetaucher,The Life Aquatic with Steve Zissou,2004,119,Abenteuer | Komödie,USA,Wes Anderson,Bill Murray | Owen Wilson | Cate Blanchett,7.2,57.000,82.000,https://www.justwatch.com/de/Film/Die-Tiefseetaucher,
847,1093,"In weiter Ferne, so nah!",,1993,144,Drama | Fantasy,GER,Wim Wenders,Otto Sander | Bruno Ganz | Peter Falk,7.2,54.000,87.000,https://www.justwatch.com/de/Film/In-weiter-Ferne-so-nah,
848,1094,Natural Born Killers,,1994,119,Drama | Krimi,USA,Oliver Stone,Woody Harrelson | Juliette Lewis | Robert Downey Jr.,7.2,51.000,81.000,https://www.justwatch.com/de/Film/Natural-Born-Killers,
1080,1095,Leave No Trace,,2018,109,Abenteuer | Drama,USA,Debra Granik,Ben Foster | Thomasin McKenzie | Dale Dickey,7.1,100.000,78.000,https://www.justwatch.com/de/Film/Leave-No-Trace,
849,1096,The Age of Shadows,밀정 / Miljeong,2016,140,Action | Thriller,KOR,Kim Jee-woon,Song Kang-ho | Gong Yoo | Han Ji-min,7.1,100.000,72.000,https://www.justwatch.com/de/Film/miljeong,
850,1097,One Night in Miami,,2020,114,Drama | Drama,USA,Regina King,Kingsley Ben-Adir | Eli Goree | Aldis Hodge,7.1,98.000,78.000,https://www.justwatch.com/de/Film/One-Night-in-Miami,
851,1098,A Real Pain,,2024,89,Drama | Komödie,POL | USA,Jesse Eisenberg,Jesse Eisenberg | Kieran Culkin | Will Sharpe,7.1,96.000,82.000,https://www.justwatch.com/de/Film/a-real-pain,
1069,1099,Blue Ruin,,2013,90,Drama | Thriller,FRA | USA,Jeremy Saulnier,Macon Blair | Devin Ratray | Amy Hargreaves,7.1,96.000,79.000,https://www.justwatch.com/de/Film/Blue-Ruin,
1113,1100,Tangerine L.A.,Tangerine,2015,88,Drama | Komödie,USA,Sean Baker,Kitana Kiki Rodriguez | Mya Taylor | James Ransone,7.1,96.000,76.000,https://www.justwatch.com/de/Film/Tangerine-L-A,
852,1101,First Cow,,2019,121,Drama | Western,USA,Kelly Reichardt,John Magaro | Orion Lee | Toby Jones,7.1,96.000,65.000,https://www.justwatch.com/de/Film/First-Cow,
853,1102,Das große Tier,Duże zwierzę,2000,73,Drama | Komödie,POL,Jerzy Stuhr,Jerzy Stuhr | Anna Dymna | Dominika Bednarczyk,7.1,95.000,88.000,,
1060,1103,Heathers,,1988,103,Komödie | Thriller,USA,Michael Lehmann,Winona Ryder | Christian Slater | Shannen Doherty,7.1,95.000,83.000,https://www.justwatch.com/de/Film/Lethal-Attraction,
854,1104,Re-Animator,,1985,86,Horror | Komödie,USA,Stuart Gordon,Jeffrey Combs | Bruce Abbott | Barbara Crampton,7.1,94.000,82.000,https://www.justwatch.com/de/Film/Re-Animator,
855,1105,Klute,,1971,114,Krimi | Thriller,USA,Alan J. Pakula,Jane Fonda | Donald Sutherland | Charles Cioffi,7.1,94.000,79.000,https://www.justwatch.com/de/Film/Klute,
1163,1106,Three Kings – Es ist schön König zu sein,Three Kings,1999,115,Komödie | Krieg,USA,David O. Russell,George Clooney | Mark Wahlberg | Ice Cube,7.1,94.000,77.000,https://www.justwatch.com/de/Film/Three-Kings-Es-ist-schoen-Koenig-zu-sein,
856,1107,WarGames – Kriegsspiele,WarGames,1983,114,Sci-Fi | Thriller,USA,John Badham,Matthew Broderick | Ally Sheedy | John Wood,7.1,94.000,76.000,https://www.justwatch.com/de/Film/War-Games-Kriegsspiele,
